Sample in Buffer,Sample in Window,TRIGGER,daq_stream[0]_1[31:0],daq_stream[1]_1[31:0],daq_stream_k[0]_1[3:0],daq_stream_k[1]_1[3:0],daq_data_type[0][1:0],daq_data_type[1][1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
410,410,0,f9002000,000000bc,0,1,0,3
411,411,0,0033fe4f,000000bc,0,1,0,3
412,412,0,c0033fcc,000000bc,0,1,0,3
413,413,0,34006004,000000bc,0,1,0,3
414,414,0,008ff300,000000bc,0,1,0,3
415,415,0,3ffc00b0,000000bc,0,1,0,3
416,416,0,a3ff0008,000000bc,0,1,0,3
417,417,0,fb001000,000000bc,0,1,0,3
418,418,0,0023fc4f,000000bc,0,1,0,3
419,419,0,00030058,000000bc,0,1,0,3
420,420,0,e8007005,000000bc,0,1,0,3
421,421,0,0200053f,000000bc,0,1,0,3
422,422,0,00180030,000000bc,0,1,0,3
423,423,0,00034023,000000bc,0,1,0,3
424,424,0,063fe400,000000bc,0,1,0,3
425,425,0,ffc3fe80,000000bc,0,1,0,3
426,426,0,0ffb0028,000000bc,0,1,0,3
427,427,0,0c007002,000000bc,0,1,0,3
428,428,0,004ff800,000000bc,0,1,0,3
429,429,0,3ffcfff0,000000bc,0,1,0,3
430,430,0,30010ff9,000000bc,0,1,0,3
431,431,0,ed0054ff,000000bc,0,1,0,3
432,432,0,ff9004cf,000000bc,0,1,0,3
433,433,0,40040044,000000bc,0,1,0,3
434,434,0,60fff003,000000bc,0,1,0,3
435,435,0,060ffd00,000000bc,0,1,0,3
436,436,0,0030fe90,000000bc,0,1,0,3
437,437,0,73ff8fec,000000bc,0,1,0,3
438,438,0,f43fe000,000000bc,0,1,0,3
439,439,0,ffb0020f,000000bc,0,1,0,3
440,440,0,0fff004c,000000bc,0,1,0,3
441,441,0,00ff8001,000000bc,0,1,0,3
442,442,0,fd0ff800,000000bc,0,1,0,3
443,443,0,3fe80023,000000bc,0,1,0,3
444,444,0,7003000b,000000bc,0,1,0,3
445,445,0,103fe400,000000bc,0,1,0,3
446,446,0,00b00280,000000bc,0,1,0,3
447,447,0,8c7015e0,000000bc,0,1,0,3
448,448,0,98057270,000000bc,0,1,0,3
449,449,0,9642503c,000000bc,0,1,0,3
450,450,0,33ec3b90,000000bc,0,1,0,3
451,451,0,123a4b4c,000000bc,0,1,0,3
452,452,0,7921fc58,000000bc,0,1,0,3
453,453,0,ea40798c,000000bc,0,1,0,3
454,454,0,02422710,000000bc,0,1,0,3
455,455,0,200563e6,000000bc,0,1,0,3
456,456,0,0fcdef38,000000bc,0,1,0,3
457,457,0,0800df42,000000bc,0,1,0,3
458,458,0,d0c508f7,000000bc,0,1,0,3
459,459,0,d803d0de,000000bc,0,1,0,3
460,460,0,0f937841,000000bc,0,1,0,3
461,461,0,ca4d1ff8,000000bc,0,1,0,3
462,462,0,00b1e1b6,000000bc,0,1,0,3
463,463,0,480c290d,000000bc,0,1,0,3
464,464,0,261c90f0,000000bc,0,1,0,3
465,465,0,21038702,000000bc,0,1,0,3
466,466,0,562d9032,000000bc,0,1,0,3
467,467,0,7831d986,000000bc,0,1,0,3
468,468,0,c2741f3c,000000bc,0,1,0,3
469,469,0,5007311e,000000bc,0,1,0,3
